Mon Nov 18 15:58:16 2013 GMT
ID         RELATIONSHIP                            HW      SW  CPUS
201457665  Core (Software)                          -   16.7%  0-7
201457665  Core (Floating_Point_Unit)            0.0%       -  0-7
201457665  Core (Integer_Pipeline)              51.0%       -  0-7

201654273  Core (Software)                          -   12.2%  8-15
201654273  Core (Floating_Point_Unit)            0.1%       -  8-15
201654273  Core (Integer_Pipeline)               8.0%       -  8-15

201850881  Core (Software)                          -   12.9%  16-23
201850881  Core (Floating_Point_Unit)            0.1%       -  16-23
201850881  Core (Integer_Pipeline)              15.9%       -  16-23

202047489  Core (Software)                          -   11.0%  24-31
202047489  Core (Floating_Point_Unit)            0.1%       -  24-31
202047489  Core (Integer_Pipeline)               9.7%       -  24-31

202244097  Core (Software)                          -   13.0%  32-39
202244097  Core (Floating_Point_Unit)            0.7%       -  32-39
202244097  Core (Integer_Pipeline)              14.9%       -  32-39

202440705  Core (Software)                          -   12.1%  40-47
202440705  Core (Floating_Point_Unit)            0.1%       -  40-47
202440705  Core (Integer_Pipeline)              12.1%       -  40-47

202637313  Core (Software)                          -   12.8%  48-55
202637313  Core (Floating_Point_Unit)            0.1%       -  48-55
202637313  Core (Integer_Pipeline)              12.4%       -  48-55

202833921  Core (Software)                          -   13.5%  56-63
202833921  Core (Floating_Point_Unit)            0.1%       -  56-63
202833921  Core (Integer_Pipeline)              30.8%       -  56-63

203030529  Core (Software)                          -   28.4%  64-71
203030529  Core (Floating_Point_Unit)            0.4%       -  64-71
203030529  Core (Integer_Pipeline)              15.1%       -  64-71

203227137  Core (Software)                          -   20.0%  72-79
203227137  Core (Floating_Point_Unit)            0.1%       -  72-79
203227137  Core (Integer_Pipeline)              13.8%       -  72-79

203423745  Core (Software)                          -   12.5%  80-87
203423745  Core (Floating_Point_Unit)            0.2%       -  80-87
203423745  Core (Integer_Pipeline)              12.6%       -  80-87

203620353  Core (Software)                          -    9.9%  88-95
203620353  Core (Floating_Point_Unit)            0.1%       -  88-95
203620353  Core (Integer_Pipeline)               8.0%       -  88-95

203816961  Core (Software)                          -    9.1%  96-103
203816961  Core (Floating_Point_Unit)            0.1%       -  96-103
203816961  Core (Integer_Pipeline)               8.1%       -  96-103

204013569  Core (Software)                          -    9.4%  104-111
204013569  Core (Floating_Point_Unit)            0.1%       -  104-111
204013569  Core (Integer_Pipeline)               7.4%       -  104-111

204210177  Core (Software)                          -   11.5%  112-119
204210177  Core (Floating_Point_Unit)            0.1%       -  112-119
204210177  Core (Integer_Pipeline)               9.5%       -  112-119

204406785  Core (Software)                          -   11.6%  120-127
204406785  Core (Floating_Point_Unit)            0.1%       -  120-127
204406785  Core (Integer_Pipeline)               9.1%       -  120-127

204603393  Core (Software)                          -   12.5%  128-135
204603393  Core (Floating_Point_Unit)            0.1%       -  128-135
204603393  Core (Integer_Pipeline)               9.8%       -  128-135

204800001  Core (Software)                          -   14.1%  136-143
204800001  Core (Floating_Point_Unit)            0.1%       -  136-143
204800001  Core (Integer_Pipeline)              10.0%       -  136-143

204996609  Core (Software)                          -   14.6%  144-151
204996609  Core (Floating_Point_Unit)            0.1%       -  144-151
204996609  Core (Integer_Pipeline)              11.8%       -  144-151

205193217  Core (Software)                          -   16.6%  152-159
205193217  Core (Floating_Point_Unit)            0.2%       -  152-159
